初命晋大夫魏斯、赵籍、韩虔为诸侯	周威烈王姬午初次分封晋国大夫魏斯、赵籍、韩虔为诸侯国君
燕公薨，子僖公立	燕国燕公去世，其子燕僖公即位
	二十四年
王崩，子安王骄立	周威烈王驾崩，其子姬骄即位，是为周安王
盗杀楚声王，国人立其子悼王	盗匪杀死楚国楚声王，国中贵族拥立其子楚悼王即位
	安王元年
秦伐魏，至阳孤	秦国攻打魏国，直至阳孤
	二年
魏、韩、赵伐楚，至桑丘	韩国、魏国、赵国联合攻打楚国，直至桑丘
郑围韩阳翟	郑国围攻韩国阳翟城
韩景侯薨，子烈侯取立	韩国韩景侯去世，其子韩取即位，是为韩烈侯
赵烈侯薨，国人立其弟武侯	赵国赵烈侯去世，国中贵族拥立其弟即位，是为赵武侯
秦简公薨，子惠公立	秦国秦简公去世，其子即位，是为秦惠公
	三年
王子定奔晋	周朝王子姬定出奔晋国
虢山崩，壅河	虢山崩塌，泥石壅塞黄河
	四年
楚围郑	楚国围攻郑国
郑人杀其相驷子阳	郑国人杀死国相驷子阳
	五年
日有食之	出现日食
郑驷子阳之党弑公，而立其弟乙，是为康公	郑国宰相驷子阳的余党杀死国君郑公，改立他的弟弟姬乙，是为郑康公
宋悼公薨，子休公田立	宋国宋悼公去世，其子宋田即位，是为宋休公
	八年
齐伐鲁，取最	齐国攻打鲁国，攻占最地
郑负黍叛，复归韩	郑国的负黍地方反叛，复归顺韩国
	九年
魏伐郑	魏国攻打郑国
晋烈公薨，子孝公倾立	晋国晋烈公去世，其子姬倾即位，是为晋孝公
	十一年
秦伐韩宜阳，取六邑	秦国攻打韩国宜阳地方，夺取六个村邑
初，田常生襄子盘，盘生庄子白，白生太公和	起初，齐国田常生襄子田盘，田盘生庄子田白，田白再生太公田和
是岁，齐田和迁齐康公于海上，使食一城，以奉其先祀	这年，田和把国君齐康公流放到海边，让他保有一个城的赋税收入，以承继祖先祭祀
	十二年
秦、晋战于武城	秦国与晋国大战于武城
齐伐魏，取襄阳	齐国攻打魏国，夺取襄阳
鲁败齐师于平陆	鲁国在平陆击败齐国军队
	十三年
秦侵晋	秦国入侵晋国
齐田和会魏文侯、楚人、卫人于浊泽，求为诸侯	齐国田和在浊泽约会魏文侯及楚国、卫国贵族，要求作诸侯
魏文侯为之请于王及诸侯，王许之	魏文侯替他向周安王及各国诸侯申请，周安王准许
	十五年
秦伐蜀，取南郑	秦国攻打蜀地，夺取南郑
魏文侯薨，太子击立，是为武侯	魏国魏文侯去世，太子魏击即位，是为魏武侯
秦惠公薨，子出公立	秦国秦惠公去世，其子即位，是为秦出公
赵武侯薨，国人复立烈侯之太子章，是为敬侯	赵国赵武侯去世，国中贵族又拥立赵烈侯的太子赵章即位，是为赵敬侯
韩烈侯薨，子文侯立	韩国韩烈侯去世，其子即位，是为韩文侯
	十六年
初命齐大夫田和为诸侯	周王朝开始任命齐国大夫田和为诸侯国君
赵公子朝作乱，奔魏；与魏袭邯郸，不克	赵国公子赵朝作乱，出奔魏国，与魏国军队一起进袭赵国邯郸，未能攻克
	十七年
秦庶长改逆献公于河西而立之；杀出子及其母，沈之渊旁	秦国名叫改的庶长在河西迎接秦献公，立为国君；把秦出公和他的母亲杀死，沉在河里
齐伐鲁	齐国攻打鲁国
齐太公薨，子桓公午立	齐国太公田和去世，其子田午即位，是为齐桓公
	十九年
魏败赵师于兔台	魏国在兔台击败赵国军队
	二十年
日有食之，既	出现日全食
	二十一年
楚悼王薨	楚悼王去世
贵戚大臣作乱，攻吴起；起走之王尸而伏之	贵族国戚和大臣作乱，攻打吴起，吴起逃到悼王尸体边，伏在上面
击起之徒因射刺起，并中王尸	攻击吴起的暴徒用箭射吴起，并射中了悼王的尸体
既葬，肃王即位，使令尹尽诛为乱者；坐起夷宗者七十馀家	办完葬事，楚肃王即位，命令楚相全数翦灭作乱者，因射吴起之事而被灭族的多达七十余家
	二十二年
齐伐燕，取桑丘	齐国攻打燕国，夺取桑兵
魏、韩、赵伐齐，至桑丘	魏、韩、赵三国攻打齐国，兵至桑丘
	二十三年
赵袭卫，不克	赵国袭击卫国，未能攻克
狄败魏师于浍	北方狄族在浍山击败魏国军队
魏、韩、赵伐齐，至灵丘	魏、韩、赵三国攻打齐国，兵至灵丘
晋孝公薨，子靖公俱酒立	晋国晋孝公去世，其子姬俱酒即位，是为晋靖公
	二十五年(甲辰、前377)
蜀伐楚，取兹方	蜀人攻打楚国，夺取兹方
子思言苟变于卫侯曰：其才可将五百乘	孔，字子思，向卫国国君提起苟变说：他的才能可统领五百辆车
公曰：吾知其可将；然变也尝为吏，赋于民而食人二鸡子，故弗用也	卫侯说：我知道他是个将才，然而苟变做官吏的时候，有次征税吃了老百姓两个鸡蛋，所以我不用他
子思曰：夫圣人之官人，犹匠之用木也，取其所长，弃其所短；故杞梓连抱而有数尺之朽，良工不弃	孔说：圣人选人任官，就好比木匠使用木料，取其所长，弃其所短；因此一根合抱的良木，只有几尺朽烂处，高明的工匠是不会扔掉它的
今君处战国之世，选爪牙之士，而以二卵弃干城之将，此不可使闻于邻国也	现在国君您处在战国纷争之世，正要收罗锋爪利牙的人才，却因为两个鸡蛋而舍弃了一员可守一城的大将，这事可不能让邻国知道啊
公再拜曰：谨受教矣	卫侯一再拜谢说：我接受你的指教
鲁穆公薨，子共公奋立	鲁国鲁穆公去世，其子姬奋即位，是为鲁共公
韩文侯薨，子哀侯立	韩国韩文侯去世，其子即位，是为韩哀侯
	二十六年
王崩，子烈王喜立	周安王去世，其子姬喜即位，是为周烈王
魏、韩、赵共废晋靖公为家人而分其地	魏、韩、赵三国一同把晋靖公废黜为平民，瓜分了他的残余领地
	烈王元年
日有食之	出现日食
韩灭郑，因徙都之	韩国灭掉郑国，于是把国都迁到新郑
赵敬侯薨，子成侯种立	赵国赵敬侯去世，其子赵种即位，是为赵成侯
	三年
燕败齐师于林狐	燕国在林狐击败齐国军队
燕僖公薨，子桓公立	燕国燕僖公去世，其子即位，是为燕桓公
宋休公薨，子辟公立	宋国宋休公去世，其子即位，是为宋辟公
卫慎公薨，子声公训立	卫国卫慎公去世，其子卫训即位，是为卫声公
	四年
赵伐卫，取都鄙七十三	赵国攻打卫国，夺取七十三个村镇
魏败赵师于北蔺	魏国在北蔺击败赵国军队
	五年
魏伐楚，取鲁阳	魏国攻打楚国，夺取鲁阳
韩严遂弑哀侯，国人立其子懿侯	韩国严遂杀死韩哀侯，国中贵族立哀侯之子，是为韩懿侯
初，哀侯以韩为相而爱严遂，二人甚相害也	当初，韩哀侯曾任命韩为国相却宠爱严遂，两人互相仇恨至深
严遂令人刺韩于朝，走哀侯，哀侯抱之；人刺韩，兼及哀侯	严遂派人在朝廷行刺韩，韩逃到韩哀侯身边，韩哀侯抱住他，刺客刺韩，连带韩哀侯也被刺死
魏武侯薨，不立太子，子与公中缓争立，国内乱	魏国魏武侯去世，没有立太子，他的儿子魏与公中缓争位，国内大乱
	六年
齐威王来朝	齐威王朝拜周烈王
是时周室微弱，诸侯莫朝，而齐独朝之，天下以此益贤威王	当时周王室已十分衰弱，各诸侯国都不来朝拜，唯独齐王仍来朝拜，因此天下人愈发称赞齐威王贤德
赵伐齐，至鄄	赵国攻打齐国，直至鄄地
魏败赵师于怀	魏国在怀地击败赵国军队
楚肃王薨，无子，立其弟良夫，是为宣王	楚国楚肃王去世，他没有儿子，弟弟良夫即位，是为楚宣王
宋辟公薨，子剔成立	宋国宋辟公去世，其子宋剔成即位
	七年
日有食之	出现日食
王崩，弟扁立，是为显王	周烈王去世，弟弟姬扁即位，是为周显王
齐伐魏，取观津	齐国攻打魏国,夺取观津
赵侵齐，取长城	赵国入侵齐国，占领长城
	三年
魏、韩会于宅阳	魏国、韩国在宅阳举行会议
秦败魏师、韩师于洛阳	秦国在洛阳击败魏国和韩国军队
	四年B>
魏伐宋	魏国攻打宋国
	五年
秦献公败三晋之师于石门，斩首六万	秦献公在石门大败韩、赵、魏三国联军，斩首六万人
王赐以黼黻之服	周王特地颁赏他绣有黑、白、青花纹的服饰
	七年
魏败韩师、赵师于浍	魏国在浍地击败韩国和赵国军队
秦、魏战于少梁，魏师败绩；获魏公孙痤	秦国、魏国在少梁激战，魏国军队大败而逃，公孙痤被俘
卫声公薨，子成侯速立	卫国卫声公去世，其子卫速即位为卫成侯
燕桓公薨，子文公立	燕国燕桓公去世，其子即位为燕文公
孝公下令国中曰：昔我穆公，自岐、雍之间修德行武，东平晋乱，以河为界，西霸戎翟，广地千里，天子致伯，诸侯毕贺，为后世开业甚光美	秦孝公在国中下令说：当年我国的国君秦穆公，立足于岐山、雍地，励精图治，向东平定了晋国之乱，以黄河划定国界；向西称霸于戎翟等族，占地广达千里；被周王赐与方伯重任，各诸侯国都来祝贺，所开辟的基业是多么光大宏伟
会往者厉、躁、简公、出子之不宁，国家内忧，未遑外事	只是后来历代国君厉公、躁公、简公及出子造成国内动乱不息，才无力顾及外事
三晋攻夺我先君河西地，丑莫大焉	魏、赵、韩三国夺去了先王开创的河西领土，这是无比的耻崐辱
献公即位，镇抚边境，徙治栎阳，且欲东伐，复穆公之故地，修穆公之政令	到献公即位时，平定安抚边境，把都城迁到栎阳，亲往治理，准备向东征讨，收复穆公时的旧地，重修穆公时的政策法令
寡人思念先君之意，常痛于心	我想到先辈的未竟之志，常常痛心疾首
宾客群臣有能出奇计强秦者，吾且尊官，与之分土	现在宾客群臣中谁能献上奇计，让秦国强盛，我就封他为高官，给他封地
于是卫公孙鞅闻是令下，乃西入秦	卫国的公孙鞅听到这道命令，于是西行来到秦国
韩懿侯薨，子昭侯立	韩国韩懿侯去世，其子即位为韩昭侯
	十一年
秦败韩师于西山	秦国在西山击败韩国军队
	十二年
魏、韩会于	韩国、魏国在地举行会议
	十三年
赵、燕会于阿	赵国、燕国在阿地举行会议
赵、齐、宋会于平陆	赵国、齐国、宋国在平陆举行会议
	十四年
齐威王、魏惠王会田于郊	齐威王、魏惠王在效野约会狩猎
惠王曰：齐亦有宝乎	魏惠王问：齐国也有什么宝贝吗
威王曰：无有	齐威王说：没有
惠王曰：寡人国虽小，尚有径寸之珠，照车前后各十二乘者十枚	魏惠王说：我的国家虽小，尚有十颗直径一寸以上、可以照亮十二乘车子的大珍珠
岂以齐大国而无宝乎	以齐国之大，难道能没有宝贝
威王曰：寡人之所以为宝者与王异	齐威王说：我对宝贝的看法和你可不一样
吾臣有檀子者，使守南城，则楚人不敢为寇，泗上十二诸侯皆来朝	我的大臣中有位檀子，派他镇守南城，楚国不敢来犯，泗水流域的十二个诸侯国都来朝贺
吾臣有盼子者，使守高唐，则赵人不敢东渔于河	我的大臣中还有位盼子，使他守高唐，赵国人怕得不敢向东到黄河边来打渔
吾吏有黔夫者，使守徐州，则燕人祭北门，赵人祭西门，徙而从者七千余家	我的官吏中有位黔夫，令他守徐州，燕国人在北门、赵国人在西门望空礼拜求福，相随来投奔的多达七千余家
吾臣有种首者，使备盗贼，则道不拾遗	我的大臣中有位种首，让他防备盗贼，便出现路不拾遗的太平景象
此四臣者，将照千里，岂特十二乘哉	这四位大臣，光照千里，岂止是十二乘车子呢
惠王有惭色	魏惠王听了面色十分惭愧
秦孝公、魏惠王会于杜平	秦孝公、魏惠王在杜平举行会议
鲁共公薨，子康公毛立	鲁国鲁共公去世，其子姬毛即位为鲁康公
	十五年
秦败魏师于元里，斩首七千级，取少梁	秦国在元里击败魏国军队，斩首七千余人，夺取少梁
魏惠王伐赵，围邯郸	魏惠王率军攻打赵国，围困邯郸城
楚王使景舍救赵	楚王派景舍为将出兵救赵
	十六年
齐威王使田忌救赵	齐威王派田忌率军救赵
韩伐东周，取陵观、廪丘	韩国攻打东周王朝，夺取陵观、廪丘
秦大良造伐魏	秦国大良造率军攻打魏国
诸侯围魏襄陵	各诸侯国出兵围攻魏国襄陵城
	十八年
秦卫鞅围魏固阳，降之	秦国公孙鞅率军围攻魏国固阳，固阳归降
韩昭侯以申不害为相	韩昭侯任用申不害为国相
秦商鞅筑冀阙宫庭于咸阳，徙都之	秦国公孙鞅在咸阳修建宫殿，将国都迁到那里
令民父子、兄弟同室内息者为禁	又下令禁止百姓家庭不分长幼尊卑地父子、兄弟混居一堂
并诸小乡聚，集为一县，县置令、丞，凡三十一县	把四散的小村落合并到一起，成为一个县，设置县令、县丞等官员，共设了三十一个县
废井田，开阡陌	还废除旧的井田制度，打破原来的土地疆界
平斗、桶、权、衡、丈、尺	并统一斗、桶、权、衡、丈、尺等计量单位
秦、魏遇于彤	秦军和魏军在彤地发生遭遇战
赵成侯薨，公子绁与太子争立；绁败，奔韩	赵国赵成侯去世，公子赵绁与太子争夺君位，赵绁失败，逃奔韩国
	二十一年
秦商鞅更为赋税法，行之	秦国公孙鞅改革赋税制度，付诸实行
	二十二年
赵公子范袭邯郸，不胜而死	赵国公子范袭击邯郸，未能取胜却被杀死
	二十三年
齐杀其大夫牟	齐国杀死大夫田牟
鲁康公薨，子景公偃立	鲁国鲁康公去世，其子姬偃即位为鲁景公
卫更贬号曰侯，服属三晋	卫国把自己的爵位降低为侯，臣服于韩、赵、魏三国
	二十五年
诸侯会于京师	诸侯在京师举行会议
	二十六年
王致伯于秦，诸侯皆贺秦	周显王封秦国国君为诸侯之长，各国都来致贺
秦孝公使公子少官帅师会诸侯于逢泽以朝王	秦孝公命令公子少官率军队与诸侯在逢泽举行会议，以朝见周显王
	二十八年
魏庞涓伐韩	魏国庞涓率军攻打韩国
韩请救于齐	韩国派人向齐国求救
齐威王召大臣而谋曰：蚤救孰与晚救	齐威王召集大臣商议说：是早救好呢，还是晚救好呢
成侯曰：不如勿救	成侯邹忌建议：不如不救
田忌曰：弗救则韩且折而入于魏，不如蚤救之	田忌不同意，说：我们坐视不管，韩国就会灭亡，被魏国吞并
孙膑曰：夫韩、魏之兵未弊而救之，是吾代韩受魏之兵，顾反听命于韩也	还是早些出兵救援为好
且魏有破国之志，韩见亡，必东面而诉于齐矣	孙膑却说：现在韩国、魏国的军队士气正盛，我们就去救援，是我们代替韩国承受魏国的打击，反而听命于韩国了
吾因深结韩之亲而晚承魏之弊，则可受重利而得尊名也	这次魏国有吞并韩国的野心，待到韩国感到亡国迫在眉睫，一定会向东再来恳求齐国，那时我们再出兵，既可以加深与韩国的亲密关系，又可以乘魏国军队的疲弊，正是一举两得，名利双收
王曰：善	齐威王说：对
乃阴许韩使而遣之	便暗中答应韩国使臣的求救，让他回去，却迟迟不出兵
韩因恃齐，五战不胜，而东委国于齐	韩国以为有齐国的支持，便奋力抵抗，但经过五次大战都大败而归，只好把国家的命运寄托在东方齐国身上
齐、赵伐魏	齐国、赵国攻打魏国
楚宣王薨，子威王商立	楚国楚宣王去世，其子商继位为楚威王
	三十一年
秦孝公薨，子惠文王立	秦国秦孝公去世，其子即位为秦惠文王
公子虔之徒告商君欲反，发吏捕之	因公子虔的门下人指控商君要谋反，便派官吏前去捕捉他
商君亡之魏；魏人不受，复内之秦	商君急忙逃往魏国，魏国人拒不接纳，把他送回到秦国
商君乃与其徒之商於，发兵北击郑	商君只好与他的门徒来到封地商於，起兵向北攻打郑
秦人攻商君，杀之，车裂以徇，尽灭其家	秦国军队向商君进攻，将他斩杀，车裂分尸，全家老小也被杀光
韩申不害卒	韩国申不害去世
	三十三年
宋太丘社亡	宋国太丘县的祭祀神坛倒塌
邹人孟轲见魏惠王，王曰：叟，不远千里而来，亦有以利吾国乎	邹地人士孟轲求见魏惠王，惠王问道：老先生，您不远千里而来，能给我的国家带来什么利益呢
孟子曰：君何必曰利，仁义而已矣	孟轲说：君主您何必张口就要利益，有了仁义就足够了
君曰何以利吾国，大夫曰何以利吾家，士庶人曰何以利吾身，上下交征利而国危矣	如果君主光说为国谋利益，大夫光说为家谋利益，士民百姓所说的也是如何让自身得到利益，上上下下都追逐利益，那么国家就危险了
未有仁而遗其亲者也，未有义而后其君者也	只有仁爱的人不会抛弃他的亲人，忠义的人不会把国君放到脑后
王曰：善	魏惠王点头说：对
秦伐韩，拔宜阳	秦国进攻韩国，攻克宜阳
	三十五年
齐王、魏王会于徐州以相王	齐王、魏王在徐州会面，互相尊称为王
韩昭侯作高门，屈宜臼曰：君必不出此门	韩昭侯修建一座高大的门楼，屈宜臼对他说：您肯定走不出这座门的
何也	为什么呢
不时	因为时运不宜
吾所谓时者，非时日也	我所说的时候，并不是指时间
夫人固有利，不利时	人生在世有顺利、不顺利的时候
往者君尝利矣，不作高门	过去您曾经有好时运，却没有修建高门楼
前年秦拔宜阳，今年旱，君不以此时恤民之急而顾益奢，此所谓时诎举赢者也	而去年秦国夺去了我们的宜阳，今年国内又大旱，您不在这时抚恤百姓的危难，反而奢侈挥霍，这正是古话所说的越穷越摆架子
故曰不时	所以我说时运不宜
越王无强伐齐	越国国王姒无强攻打齐国
齐王使人说之以伐齐不如伐楚之利	齐王派人向他游说：伐齐国不如去攻楚国好处大
越王遂伐楚	越王于是去攻打楚国，却大败而归
楚人大败之，乘胜尽取吴故地，东至于浙江	楚国趁势占领了原先吴国的旧地，向东一直到浙江
越以此散，诸公族争立，或为王，或为君，滨于海上，朝服于楚	越国从此分崩瓦解，各家贵族争相为王，或自立为国君，分散在沿海一带，各自向楚国臣服
楚王伐齐，围徐州	楚王攻打齐国，围困徐州
韩高门成	韩国的高大门楼修成
昭侯薨，子宣惠王立	韩昭侯却死了，其子即位为韩宣惠王
齐威王薨，子宣王辟强立；知成侯卖田忌，乃召而复之	齐国齐威王去世，其子田辟强即位为齐宣王；他知道成侯邹忌陷害田忌，于是召回田忌复位
燕文公薨，子易王立	燕国燕文公去世，其子即位为燕易王
卫成侯薨，子平侯立	卫国卫成侯去世，其子即位为卫平侯
	三十七年
秦惠王使犀首欺齐、魏，与共伐赵，以败从约	秦惠王派犀首逼迫齐国、魏国，共同出兵攻伐赵国，借此破坏各国盟约
赵肃侯让苏秦，苏秦恐，请使燕，必报齐	赵肃侯斥责苏秦，苏秦十分恐惧，请求让他出使燕国，一定报复齐国
苏秦去赵而从约皆解	而苏秦一离开赵国，联合盟约便土崩瓦解
赵人决河水以灌齐、魏之师，齐、魏之师乃去	赵国引决黄河水淹灌齐国、魏国军队，齐国、魏国军队于是撤走
魏以阴晋为和于秦，实华阴	魏国献出阴晋向秦国求和，阴晋实际上就是华阴
齐王伐燕，取十城；已而复归之	齐王攻打燕国，夺取十座城，不久又归还燕国
	三十九年
秦伐魏，围焦、曲沃	秦国进攻魏国，围困焦城和曲沃
魏入少梁、河西地于秦	魏国向秦国献出少梁、河西之地
	四十年
秦伐魏，渡河，取汾阴、皮氏，拔焦	秦国进攻魏国，渡过黄河，夺取汾阴、皮氏，攻克焦城
楚威王薨，子怀王槐立	楚国楚威王去世，其子槐即位为楚怀王
宋公剔成之弟偃袭攻剔成；剔成奔齐，偃自立为君	宋国国君宋剔成的弟弟宋偃袭击宋剔成，宋剔成逃往齐国，宋偃自立为国君
	四十一年
秦公子华、张仪帅师围魏蒲阳，取之	秦国公子华、张仪率军队围攻魏国蒲阳，予以攻占
张仪言于秦王，请以蒲阳复与魏，而使公子繇质于魏	张仪又建议秦王，把蒲阳还给魏国，并派公子繇到魏国去当人质
仪因说魏王曰：秦之遇魏甚厚，魏不可以无礼于秦	张仪于是劝说魏王道：秦国待魏国十分宽厚，魏国可不能对秦国不讲礼义
魏因尽入上郡十五县以谢焉	魏国于是拿出上郡的十五个县来报答秦国
张仪归而相秦	张仪回国后被任命为秦国国相
	四十二年
秦县义渠，以其君为臣	秦国夺取西戎的义渠国，改为一个县，把国君当作臣下
秦归焦、曲沃于魏	秦国归还焦城、曲沃给魏国
	四十三年
夏，四月，戊午，秦初称王	夏季，四月，戊午，秦国君首次称王
秦张仪帅师伐魏，取陕	秦国张仪率军攻打魏国，夺取陕
秦张仪及齐、楚之相会啮桑	秦国张仪与齐国、楚国的国相在啮桑举行会议
王崩，子慎靓王定立	周显王去世，其子姬定即位为周慎靓王
燕易王薨，子哙立	燕国燕易王去世，其子姬哙即位
齐王封田婴于薛，号曰靖郭君	齐王把薛城封给田婴，号称靖郭君
