春正月，初置骥厩丞，领受郡国调马	春季，正月，首次设立骥厩丞，负责接收和饲养从各郡、国征发来的马匹
豪右辜榷，马一匹至二百万	由于各地豪强垄断马匹交易，马价涨到一匹值二百万钱
夏，四月，庚子，赦天下	夏季，四月，庚子，大赦天下
六月，庚辰，雨雹如鸡子	六月，庚辰，天上降下大如鸡蛋的冰雹
秋，九月，庚寅朔，日有食之	秋季，九月，庚寅，出现日食
太尉刘宽免；卫尉许为太尉	太尉刘宽被免职，任命卫尉许为太尉
闰月，辛酉，北宫东掖庭永巷署灾	闰九月，辛酉，洛阳北宫东掖庭永巷署发生火灾
鲜卑寇幽、并二州	鲜卑族侵犯幽州与并州
檀石槐死，子和连代立	鲜卑族首领檀石槐去世，他的儿子和连继任首领
和连才力不及父而贪淫，后出攻北地，北地人射杀之	和连不仅才干和能力不如他的父亲，而且贪财好色，后来在进攻北地时，被北地人射死
其子骞曼尚幼，兄子魁头立	由于他的儿子骞曼年龄尚小，便由他哥哥的儿子魁头担任首领
后骞曼长大，与魁头争国，众遂离散	后来骞曼长大，与魁头争夺首领的地位，致使部众离散
魁头死，弟步度根立	魁头去世后，他的弟弟步度根继任首领
何皇后性强忌，后宫王美人生皇子协，后鸩杀美人	何皇后嫉妒心非常重，后宫王美人生下皇子刘协，何皇后就用毒药把王美人杀死
帝大怒，欲废后；诸中官固请，得止	灵帝大怒，要废掉何皇后，宦官们竭力为她求情，才使灵帝打消这个想法
大长秋华容侯曹节卒；中常侍赵忠代领大长秋	大长秋、华容侯曹节去世，由中常侍赵忠代理大长秋的职务
春，正月，辛未，赦天下	春季，正月，辛未，大赦天下
二月，大疫	二月，瘟疫到处流行
三月，司徒陈耽免	三月，司徒陈耽被免职
夏，四月，旱	夏季，四月，发生旱灾
以太常袁隗为司徒	任命太常袁隗为司徒
五月，庚申，永乐宫署灾	五月，庚申，永乐宫署发生火灾
秋，七月，有星孛于太微	秋季，七月，有异星出现于太微星旁
八月，起四百尺观于阿亭道	八月，在阿亭道建造起高达四百尺的楼台
冬，十月，太尉许罢；以太常杨赐为太尉	冬季，十月，太尉许被免职，任命太常杨赐为太尉
帝校猎上林苑，历函谷关，遂狩于广成苑	灵帝在上林苑打猎，后又经函谷关，到广成苑进行狩猎
十二月，还，幸太学	十二月，回到京城洛阳，到太学进行巡视
桓典为侍马御史，宦官畏之	桓典担任侍御史，宦官们都很怕他
典常乘骢马，京师为之语曰：行行且止，避骢御史	桓典常骑一匹青白杂色的马，京城洛阳因此传言说：走走停停，避开骑杂色马的御史
典，焉之孙也	桓典是桓焉的孙子
春，三月，辛未，赦天下	春季，三月，辛未，大赦天下
夏，大旱	夏季，出现严重旱灾
爵号皇后母为舞阳君	封何皇后的母亲为舞阳君
秋，金城河水溢出二十余里	秋季，金城郡境内的黄河水暴涨，泛滥两岸二十余里
五原山岸崩	五原郡境内发生山崩
庚子，南阳黄巾张曼成功杀太守褚贡	庚子，南阳郡的黄巾军将领张曼成进攻并杀死太守褚贡
汝南黄巾败太守赵谦于邵陵	汝南郡的黄巾军在邵陵击败太守赵谦所率的官军
广阳黄巾杀幽州刺史郭勋及太守刘卫	广阳郡的黄巾军杀幽州刺史郭勋及太守刘卫
八月，皇甫嵩与黄巾战于苍亭，获其帅卜巳	八月，皇甫嵩与黄巾军在苍亭大战，俘虏黄巾军将领卜巳
董卓攻张角无功，抵罪	董卓进攻张角，未能取胜，受到处分
乙巳，诏嵩讨角	乙巳，灵帝下诏，命皇甫嵩率军征讨张角
九月，安平王续坐不道，诛，国除	九月，安平王刘续被指控为大逆不道，处死，封国撤销
