春，正月，甲申，魏主备法驾，诣道坛受符，旗帜尽青	春季，正月，甲申，北魏国主拓跋焘备好车驾，打着全青色的旗帜来到道教神坛前接受符
自是每帝即位皆受	从此以后，北魏每位皇帝即位时都要接受符
谦之又奏作静轮宫，必令其高不闻鸡犬，欲以上接天神	寇谦之又奏请建造静轮宫，并一定要建得很高，高到人在上面听不到鸡鸣犬吠之声，目的是想伸向天上与天神相接
崔浩劝帝为之，功费万计，经年不成	宰相崔浩也力劝拓跋焘兴建，花费了数以万计的财力物力，建了几年仍未完工
太子晃谏曰：天人道殊，卑高定分，不可相接，理在必然	太子拓跋晃劝谏太武帝说：上天与世人的道不同，谁高谁低已有定分，二者不能相接，这是理所当然的事
今虚耗府库，疲弊百姓，为无益之事，将安用之	现在我们白白地浪费财力物力，老百姓也累得疲惫不堪，做这种无益的事，干什么用呢
必如谦之所言，请因东山万仞之高，为功差易	如果一定要照寇谦之所说的去做，我请求建造在万仞高的东山上，这样做，工事就容易些
帝不从	拓跋焘没有接受
夏，四月，沮渠无讳将万余家，弃敦煌西就沮渠安周	夏季，四月，沮渠无讳率领一万多家舍弃敦煌，西去沮渠安周那里与他会合
未至，鄯善王比龙畏之，将其众奔且末，其世子降于安周	还没有到，鄯善王比龙很害怕，率领人马逃到且末，他的嫡长子向沮渠安周投降
无讳遂据鄯善，其士卒经流沙渴死者太半	沮渠无讳于是占据了鄯善，但他的士卒在过沙漠地区时因干渴而死亡的人超过了一半
甲戌，上以疾愈，大赦	甲戌，刘宋文帝刘义隆因病痊愈，实行大赦
甲戌晦，日有食之	甲戌晦，出现日食
冬，十月，己卯，魏立皇子伏罗为晋王，翰为秦王，谭为燕王，建为楚王，余为吴王	冬季，十月，己卯，北魏封皇子拓跋伏罗为晋王，拓跋翰为秦王，拓跋谭为燕王，拓跋建为楚王，拓跋余为吴王
甲申，柔然遣使诣建康	甲申，柔然派使节到宋都城建康
十二月，辛巳，魏襄城孝王卢鲁元卒	十二月，辛巳，北魏襄城孝王卢鲁元去世
雍州刺史晋安襄侯刘道产卒	刘宋雍州刺史晋安襄侯刘道产去世
道产善为政，民安其业，小大丰赡，由是民间有《襄阳乐歌》	刘道产善于治理政务，老百姓安居乐业，户户富庶，因此，民间流传有《襄阳乐歌》
