戊辰，唐王以世子建成为左元帅，秦公世民为右元帅，督诸军十余万人救东都	戊辰，唐王以世子李建成为左元帅，秦公李世民为右元帅，率领各路兵马十余万救援东都
东都乏食，太府卿元文都等募守城不食公粮者进散官二品；于是商贾执象而朝者，不可胜数	东都缺粮，隋太府卿元文都等人召募守城人，不吃公粮的进散官二品，这一来手持象牙笏板上朝的商人，不计其数
二月，己卯，唐王遣太常卿郑元将兵出商洛，徇南阳，左领军府司马安陆马元规徇安陆及荆、襄	二月，己卯，唐王派太常卿郑元领兵从商洛攻取南阳；派左领军府司马安陆人马元规攻取安陆及荆州、襄州
三月，己酉，以齐公元吉为镇北将军、太原道行军元帅、都督十五郡诸军事，听以便宜从事	三月，己酉，唐王以齐公李元吉为镇北将军、太原道行军元帅，都督十五郡诸军事，允许他有权随机行事
隋炀帝至江都，荒淫益甚，宫中为百余房，各盛供张，实以美人，日令一房为主人	隋炀帝到江都，更加荒淫，宫中一百多间房，每间摆设都极尽豪华，内住美女，每天以一房的美女作主人
江都郡丞赵元楷掌供酒馔，帝与萧后及幸姬历就宴饮，酒卮不离口，从姬千余人亦常醉	江都郡丞赵元楷负责供应美酒饮食，炀帝与萧后以及宠幸的美女吃遍了宴会，酒杯不离口，随从的一千多美女也经常喝醉
然帝见天下危乱，意亦扰扰不自安，退朝则幅巾短衣，策杖步游，遍历台馆，非夜不止，汲汲顾景，唯恐不足	不过炀帝看到天下大乱，心情也忧虑不安，下朝后常头戴幅巾，身穿短衣，柱杖散步，走遍行宫的楼台馆舍，不到晚上不止步，不停地观赏四周景色，唯恐没有看够
乙卯，徙秦公世民为赵公	乙卯，改封秦公李世民为赵公
宇文化及以左武卫将军陈棱为江都太守，综领留事	宇文化及以左武卫将军陈棱为江都太守，总管留守事宜
壬申，令内外戒严，云欲还长安	壬申，命令内外戒严，声称准备回长安
皇后六宫皆依旧式为御营，营前别立帐，化及视事其中，仗卫部伍，皆拟乘舆	皇后和六宫都按照老规矩作为御营，营房前另外搭帐，宇文化及在里面办公，仪仗和侍卫的人数，都比照着皇帝的规模
夺江都人舟楫，取彭城水路西归	他们抢了江都人的船，取道彭城由水路向西行
以折冲郎将沈光骁勇，使将给使营于禁内	宇文化及因折冲郎将沈光骁勇，让他在御营内统领给使营
行至显福宫，虎贲郎将麦孟才、虎牙郎钱杰与光谋曰：吾侪受先帝厚恩，今俯首事雠，受其驱帅，何面目视息世间哉	行进到显福宫，虎贲郎将麦孟才、虎牙郎钱杰和沈光商议：我们都受了先帝极大的恩典，现在低头为仇人做事，受他驱使指挥，有什么脸见人
吾必欲杀之，死无所恨	我一定要杀了他，死了也没有什么遗憾的
光泣曰：是所望于将军也	沈光流着泪说：这正是我指望将军的
孟才乃纠合恩旧，帅所将数千人，期以晨起将发时袭化及	于是孟才联合了与他有恩旧的人，率领数千名部下，约定早晨起床后准备出发时袭击宇文化及
语泄，化及夜与腹心走出营外，留人告司马德戡等，使讨之	消息走露，夜里宇文化及和心腹走到御营外面，派人通知司马德戡，让他去诛戮麦孟才等人
光闻营内喧，知事觉，即袭化及营，空无所获，值内史侍郎元敏，数而斩之	沈光听到营里喧哗，知道事情被发觉了，马上袭击宇文化及的营帐，空无所获，碰着内史侍郎元敏，就列举了元敏的罪状，杀了他
德戡引兵入围之，杀光，其麾下数百人皆斩死，一无降者，孟才亦死	司马德戡领着兵进入营中围住沈光一行，杀了沈光，沈光手下的几百人全都拼杀而死，没有一个人投降，孟才也死了
孟才，铁杖之子也	麦孟才是麦铁杖的儿子
武康沈法兴，世为郡著姓，宗族数千家	武康人沈法兴，世代都是郡中有声望的大姓，同一宗族就有几千家
法兴为吴兴太守，闻宇文化及弑逆，举兵以讨化及为名，比至乌程，得精卒六万，遂攻余杭、毗陵、丹阳，皆下之；据江表十余郡，自称江南道大总管，承制置百官	沈法兴做吴兴太守，听说宇文化及弑君谋逆，以讨宇文化及为名起兵，待进发到乌程时，已拥有六万精兵，于是攻打余杭、毗陵、丹阳，全都攻克；占据了长江以南十几个郡，自称江南道大总管，承制设置百官
陈国公窦抗，唐王之妃兄也，炀帝使行长城于灵武；闻唐王定关中，癸酉，帅灵武、盐川等数郡来降	陈国公窦抗是唐王妃子的兄长，隋炀帝派遣他到灵武一带巡视长城，听说唐王平定了关中，癸酉，率领灵武、盐川几个郡前来归顺唐王
世子建成等至东都，军于芳华苑；东都闭门不出，遣人招谕，不应	唐王世子李建成等人到东都，驻札在芳华苑；东都城关闭城门不出，唐军派人招谕，又不答复
李密出军争之，小战，各引去	李密出军与唐军相争，稍微接触，就各自离开
