二月，李听袭海州，克东海、朐山、怀仁等县	二月，李听出兵袭击海州，攻克东海、朐山、怀仁等县
李败平卢兵于沂州，拔丞县	李率军在沂州击败平卢兵，攻克丞县
壬戌，田弘正捷奏至	壬戌，田弘正奏捷文告送到京城
乙丑，命户部侍郎杨於陵为淄青宣抚使	乙丑，唐宪任命户部侍郎杨於陵为淄青宣抚使
已巳，李师道首函至	已巳，装着李师道首级的盒子送至京城
自广德以来，垂六十年，藩镇跋扈河南、北三十余州，自除官吏，不供贡赋，至是尽遵朝廷约束	自从唐代宗广德元年以来，蕃镇在河南、河北三十余州割据跋扈，自命官吏，不向朝廷上供赋税，将近六十余年，至此全部重新遵守朝廷法令
横海节度使乌重胤奏：河朔藩镇所以能旅拒朝命六十余年者，由诸州县各置镇将领事，收刺吏、县令之权，自作威福	横海节度使乌重胤上奏：河朔藩镇所以能够长期抗拒朝廷诏令，割据六十余年，原因是他们在各州设置镇将主持军政，夺刺史和县令的权力，自作威福
使刺史各得行其职，则虽有奸雄如安、史，必不能以一州独反也	如果能让刺史行使自己的职权，那么，就是出现像安禄山、史思明这样的奸雄，也必然不可能以一州的兵力叛乱
臣所领德、棣、景三州，已举牒各还刺史职事，应在州兵并令刺史领之	现在，我所管辖的德、棣、景三州，已下令各州镇将把军权归还刺史，各州的州兵都由刺史统辖
夏，四月，丙寅，诏诸道节度、都团练、都防御、经略等使所统支郡兵马，并令刺史领之	夏季，四月，丙寅，唐宪宗下诏，命各道节度使、都团练使、都防御使、经略使等所统辖的支郡兵马，一律归各州刺史统辖
自至德以来，节度使权重，所统诸州各置镇兵，以大将主之，暴横为患，故重胤论之	自从至德元年以来，节度使权势日重，他们在各自管辖的州郡设置镇兵，派大将主持军务，专横跋扈，所以，乌重胤上奏论及此事
其后河北诸镇，惟横海最为顺命，由重胤处之得宜故也	从此以后，河北藩镇中，只有横海最为顺从朝廷，都是由于乌重胤处置适宜的缘故
辛未，工部侍郎、同平章事程异薨	辛未，工部侍郎、同平章事程异去世
裴度在相位，知无不言，皇甫之党阴挤之	宰相裴度知无不言，皇甫的党羽在暗地里不断排挤他
丙子，诏度以门下侍郎、同平章事，充河东节度使	丙子，唐宪宗下诏，命裴度带门下侍郎、同平章事的荣誉官衔，充任河东节度使
丁酉，以河阳节度使令狐楚为中书侍郎、同平章事	丁酉，唐宪宗任命河阳节度使令狐楚为中书侍郎、同平章事
楚与皇甫同年进士，故引以为相	令狐楚与皇甫是同一年考中的进士，所以，皇甫引荐令狐楚担任宰相
朝廷闻沂州军乱，甲辰，以棣州刺史曹华为沂、海、兖、密观察使	朝廷听说沂州发生军乱，甲辰，任命棣州刺史曹华为沂、海、兖、密观察使
已未，田弘正入朝，上待之尢厚	已未，田弘正来京朝拜，唐宪宗以最为隆重的礼节接待他
癸酉，吐蕃寇庆州，营于方渠	癸酉，吐蕃出兵侵犯庆州，在方渠扎寨安营
乙巳，上问宰相：玄宗之政，先理而后乱，何也	乙巳唐宪宗询问宰相：玄宗朝政治，先治而后乱，是什么原因
